unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
9.7,2011,Illinois,12790182,6272579,6517603,839616,860232,879233,927161,643992,832339,529061,230976,36.4,9654603,9214977,1859608,25216,583302,12790182,5285389,10029404,6688329,3341075,974160,782212,343232,775663,214190,1619477,1353070,1616520,12484415,3947539,1806569,419344,172098,632536,1772717,972020,785705,969103
9.1,2011,Indiana,6454254,3175252,3279002,433281,443985,449251,476532,337346,441483,278185,110124,36.8,4848923,5482893,576304,14772,99194,6454254,2788797,5035313,3283673,1751640,498049,352058,183340,554161,106958,816771,679814,826413,6267616,1907150,798425,278320,89599,382906,866012,341306,103124,189641
5.5,2011,Iowa,3032266,1498400,1533866,198900,199227,200614,220378,163004,221311,156349,72658,38,2307562,2782349,85714,9958,52881,3032266,1332487,2392818,1647363,745455,232037,216878,96548,229209,45910,425181,348813,375095,2933475,828685,370180,113452,39938,116675,433072,153208,47402,81066
6.5,2011,Kansas,2830985,1403192,1427793,201206,199217,197936,205155,143796,186020,127080,58944,36.1,2112400,2412703,163063,23860,67532,2830985,1228959,2192495,1506400,686095,232164,231215,88172,182739,46083,374348,310792,368056,2751599,819244,340068,110923,40121,115501,437905,186423,59979,122711
9.4,2011,Kentucky,4316040,2120101,2195939,279529,281823,284161,298209,242390,318968,181569,70319,37.8,3294652,3808381,336628,8913,47754,4316040,1921067,3412180,2065869,1346311,316791,287677,120766,259242,72787,549670,469982,553372,4190755,1228520,509862,197189,57625,300804,577977,240824,44788,90738
7.8,2011,Louisiana,4484596,2193423,2291173,310282,303947,305703,327378,238308,304550,178260,65456,35.9,3372863,2838981,1429820,28154,69355,4484596,1944234,3503250,2163213,1340037,354180,329077,170534,162869,78886,553131,468108,578073,4357879,1366758,620439,179260,63944,340156,608440,201800,67271,97421
7.9,2011,Maine,1328543,650339,678204,69386,74509,80611,89908,87633,109637,70478,27614,42.4,1050956,1268113,13979,7124,13745,1328543,718914,1086610,707618,378992,80714,92913,47681,64953,22071,199548,156653,156314,1293004,334367,161396,62790,14593,57036,184183,90319,24802,19222
7.2,2011,Maryland,5736545,2774785,2961760,365155,363690,381567,409125,307894,375564,225620,93434,37.8,4380821,3397326,1683842,16603,312883,5736545,2369168,4547457,3166018,1381439,422297,653338,212851,151419,98219,700276,573677,736609,5598250,1707360,797475,178862,74815,282932,750947,618134,349023,425698
7.3,2011,Massachusetts,6512227,3150111,3362116,367252,387940,404920,469473,358420,444304,305995,141004,38.9,5089065,5294754,431907,12238,345422,6512227,2799357,5267692,3573919,1693773,432719,427679,184867,317534,100398,918469,732319,797866,6273699,1852648,961249,196031,82362,274938,718047,733672,470913,486501
10.4,2011,Michigan,9920621,4867629,5052992,603820,644069,686008,748083,549731,706262,450998,184262,38.5,7542469,7869573,1395245,54638,244623,9920621,4532215,7840553,4913677,2926876,703325,523790,214781,743025,163620,1290413,1084855,1225341,9687213,3005500,1338217,389800,132316,534231,1561637,638046,291617,304113
